Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Reporting Type,Sex,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),818,Egypt,G,FEMALE,PERCENT,,,,,,,,,,,,,,,,,14.93,14.93,14.93,14.93,15.10,27.41,27.7,27.53,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),222,El Salvador,G,FEMALE,PERCENT,16.67,9.52,9.52,9.52,10.71,10.71,10.71,16.67,16.67,19.05,19.05,19.05,19.05,26.19,26.19,27.38,32.14,32.14,32.14,30.95,33.33,33.33,27.38,27.38,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),226,Equatorial Guinea,G,FEMALE,PERCENT,5.00,5.00,5.00,5.00,5.00,18.00,18.00,18.00,18.00,6.00,10.00,10.00,10.00,10.00,24.00,24.00,24.00,24.00,20.00,20.00,21.00,23,22,31,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),232,Eritrea,G,FEMALE,PERCENT,14.67,14.67,14.67,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),233,Estonia,G,FEMALE,PERCENT,17.82,17.82,17.82,17.82,18.81,18.81,18.81,18.81,20.79,20.79,22.77,22.77,19.80,20.79,19.00,19.80,23.76,26.73,26.73,28.71,28.71,27.72,25.74,27.72,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),748,Eswatini,G,FEMALE,PERCENT,3.08,3.08,3.08,3.08,10.77,10.77,10.77,10.77,10.77,13.85,13.64,13.64,13.64,13.64,6.15,6.15,6.15,6.15,6.15,7.25,9.59,9.59,12.16,14.86,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),231,Ethiopia,G,FEMALE,PERCENT,2.03,7.69,7.68,7.68,7.68,7.68,21.43,21.93,21.93,21.93,21.93,27.79,27.79,27.79,27.79,27.79,38.76,38.76,38.76,38.76,38.76,38.76,41.49,41.31,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),242,Fiji,G,FEMALE,PERCENT,11.27,,5.71,5.71,5.71,8.45,8.45,,,,,,,,,14.00,16.00,16.00,16.00,19.61,19.61,21.57,19.61,10.91,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),246,Finland,G,FEMALE,PERCENT,37.00,36.50,36.50,36.50,37.50,37.50,37.50,38.00,41.50,41.50,40.00,40.00,42.50,42.50,42.50,42.50,41.50,42.00,42.00,41.50,46.00,46,45.5,45.5,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),250,France,G,FEMALE,PERCENT,10.92,10.92,10.92,12.20,12.20,12.20,12.20,12.20,18.20,18.20,18.89,18.89,18.89,26.86,26.17,26.17,26.17,25.82,38.99,39.69,39.51,39.51,39.51,37.78,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),266,Gabon,G,FEMALE,PERCENT,8.33,9.17,,9.24,9.24,9.24,9.24,12.50,16.67,16.67,14.66,14.66,15.79,15.79,15.00,14.17,14.17,17.09,17.09,17.91,14.79,16.2,15.38,14.69,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),270,Gambia,G,FEMALE,PERCENT,2.04,2.04,13.21,13.21,13.21,13.21,13.21,9.43,9.43,9.43,7.55,7.55,7.55,7.55,9.43,9.43,9.43,9.43,10.34,10.34,8.62,8.62,10.34,8.62,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),268,Georgia,G,FEMALE,PERCENT,7.23,7.23,7.23,7.23,7.23,9.36,9.36,9.36,9.36,6.00,5.11,6.52,6.57,12.00,12.00,11.33,11.33,16.00,16.00,14.77,14.09,20.67,19.05,18.44,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),276,Germany,G,FEMALE,PERCENT,30.94,30.94,31.68,32.17,32.17,32.78,31.76,31.60,31.65,32.19,32.80,32.80,32.90,32.90,36.45,36.45,36.45,36.98,30.75,30.89,31.17,31.45,34.92,35.05,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),288,Ghana,G,FEMALE,PERCENT,9.00,9.00,9.00,9.00,9.00,10.87,10.87,10.87,10.87,7.89,8.26,8.26,8.26,10.26,10.91,10.91,10.91,12.73,12.73,13.09,13.09,14.55,14.55,14.55,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),300,Greece,G,FEMALE,PERCENT,6.33,8.67,8.67,8.67,8.67,14.00,13.00,13.00,14.67,14.67,17.33,17.33,18.67,21.00,21.00,23.00,19.67,18.33,18.33,18.67,20.67,21.67,21,21,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),308,Grenada,G,FEMALE,PERCENT,26.67,26.67,26.67,26.67,26.67,26.67,26.67,26.67,26.67,13.33,13.33,13.33,13.33,13.33,33.33,33.33,33.33,33.33,33.33,46.67,46.67,46.67,46.67,31.25,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),320,Guatemala,G,FEMALE,PERCENT,7.08,8.85,8.85,8.85,8.23,8.23,8.23,8.23,12.03,12.03,12.03,12.03,13.29,13.29,13.29,13.29,13.92,12.66,12.66,18.99,18.99,19.38,19.38,19.38,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),324,Guinea,G,FEMALE,PERCENT,8.77,8.77,8.77,19.30,19.30,19.30,19.30,19.30,19.30,,,,,,21.93,21.93,21.93,21.93,21.93,22.81,22.81,16.67,29.63,29.63,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),624,Guinea-Bissau,G,FEMALE,PERCENT,7.84,7.84,7.84,7.84,,14.00,14.00,14.00,14.00,10.00,10.00,10.00,10.00,14.00,11.00,13.73,13.73,13.73,13.73,13.73,13.73,13.73,13.73,13.73,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),328,Guyana,G,FEMALE,PERCENT,18.46,18.46,20.00,20.00,20.00,30.77,30.77,28.99,28.99,30.00,30.00,30.00,31.34,31.34,31.34,31.34,30.43,31.88,31.88,31.88,34.78,35.71,35.71,36.62,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),332,Haiti,G,FEMALE,PERCENT,3.61,3.61,3.61,3.61,3.61,3.61,3.61,4.08,4.08,4.08,4.08,11.11,4.21,4.21,4.21,4.21,0.00,2.56,2.54,2.54,2.54,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),340,Honduras,G,FEMALE,PERCENT,9.38,9.38,9.38,5.47,5.47,5.47,23.44,23.44,23.44,23.44,17.97,17.97,19.53,19.53,25.78,25.78,25.78,25.78,21.09,21.09,21.09,21.09,27.34,27.34,,,,,,,,,,,,,,,,,,
